id,title,author,authors,isbn13,isbn10,price,publisher,pubyear,subjects,lexile,pages,dimensions
485,Literary Nashville,Patrick Allen,"Patrick Allen, Madison Jones, Parke Godwin",9781892514110,1892514117,$16.95,"Hill Street Press, LLC",1999,"Literary Criticism, American",,,
401,The New England Transcendentalists: Life of the Mind and of the Spirit (Perspectives on History Series),Ellen Hansen,Ellen Hansen,9781932663174,1932663177,$7.95,"History Compass, LLC",2006,"Regional American Anthologies, 19th Century American Literature - Literary Criticism, American Literature Anthologies, 19th Century American Philosophy",,44.0,7.53 (w) x 4.67 (h) x 0.11 (d)
106,Best American Spiritual Writing 2007,Philip Zaleski,"Philip Zaleski, Harvey Cox",9780641974120,641974124,,Houghton Mifflin Company,2007,,,,
163,The Best American Essays 2008,Adam Gopnik,"Adam Gopnik, Robert Atwan",9780618983223,618983228,$11.92,Houghton Mifflin Harcourt,2008,"American Essays, American Literature Anthologies",,320.0,5.40 (w) x 8.10 (h) x 0.80 (d)
212,The Best American Short Stories 2001,Barbara Kingsolver,"Barbara Kingsolver, Katrina Kenison",9780395926888,395926882,$20.35,Houghton Mifflin Harcourt,2001,"American Fiction, Short Story Collections (Single Author), Short Story Anthologies, American Literature Anthologies",,402.0,5.50 (w) x 8.50 (h) x 0.89 (d)
35,The Best American Nonrequired Reading 2010,Dave Eggers,"Dave Eggers, David Sedaris",9780547241630,547241631,$11.17,Houghton Mifflin Harcourt,2010,"American Literature Anthologies, Fiction Subjects",,484.0,5.50 (w) x 8.20 (h) x 1.30 (d)
49,The Best American Nonrequired Reading 2009,Dave Eggers,"Dave Eggers, Marjane Satrapi",9780547241609,547241607,$14.39,Houghton Mifflin Harcourt,2009,"Short Story Anthologies, American Literature Anthologies",,432.0,5.40 (w) x 8.10 (h) x 1.20 (d)
214,The Best American Nonrequired Reading 2007,Dave Eggers,"Dave Eggers, Sufjan Stevens",9780618902811,618902813,$30.95,Houghton Mifflin Harcourt,2007,American Essays,,386.0,0.86 (w) x 5.50 (h) x 8.50 (d)
325,The Best American Nonrequired Reading 2008,Dave Eggers,"Dave Eggers, Judy Blume",9780618902835,061890283X,$13.48,Houghton Mifflin Harcourt,2008,"Short Story Anthologies, American Literature Anthologies",,400.0,5.40 (w) x 8.10 (h) x 1.10 (d)
374,Best American Nonrequired Reading 2005,Dave Eggers,"Dave Eggers, Beck",9780618570485,618570489,$30.95,Houghton Mifflin Harcourt,2005,"Short Story Anthologies, American Literature Anthologies",,370.0,5.50 (w) x 8.50 (h) x 0.82 (d)
448,The Book of American Negro Poetry,James Weldon Johnson,"James Weldon Johnson, James W. Johnson",9780156135399,156135396,$15.00,Houghton Mifflin Harcourt,1969,"Poetry, General",,,
51,The Best American Essays of the Century,Joyce Carol Oates,"Joyce Carol Oates, Robert Atwan",9780618155873,618155872,$14.84,Houghton Mifflin Harcourt,2001,"American Essays, American Literature Anthologies",,624.0,6.00 (w) x 9.00 (h) x 1.50 (d)
139,The Best American Short Stories 2004,Lorrie Moore,"Lorrie Moore, Katrina Kenison",9780618197354,618197354,$28.95,Houghton Mifflin Harcourt,2004,"American Fiction, Short Story Collections (Single Author), Short Story Anthologies, American Literature Anthologies",,498.0,1.11 (w) x 5.50 (h) x 8.50 (d)
90,The Latino Reader: An American Literary Tradition from 1542 to the Present,Margarite Fernandez Olmos,"Margarite Fernandez Olmos, Harold Augenbraum",9780395765289,395765285,$13.98,Houghton Mifflin Harcourt,1997,"Peoples & Cultures - American Anthologies, Hispanic & Latin American Literature Anthologies, Literature Anthologies - General & Miscellaneous",,528.0,5.50 (w) x 8.25 (h) x 0.50 (d)
41,The Best American Essays 2009,Mary Oliver,"Mary Oliver, Robert Atwan, Mary Oliver",9780618982721,618982728,$13.56,Houghton Mifflin Harcourt,2009,"American Essays, American Literature Anthologies",,224.0,5.40 (w) x 8.40 (h) x 0.60 (d)
97,The Best American Essays 2009,Mary Oliver,"Mary Oliver, Robert Atwan, Mary Oliver",9781616836863,1616836865,,Houghton Mifflin Harcourt,2009,,,,
154,The Best American Short Stories 2005,Michael Chabon,"Michael Chabon, Katrina Kenison",9780618427055,618427058,$17.98,Houghton Mifflin Harcourt,2005,"American Fiction, Short Story Collections (Single Author), Short Story Anthologies, American Literature Anthologies",,432.0,5.50 (w) x 8.25 (h) x 1.06 (d)
467,Crazy Woman Creek: Women Rewrite the American West,Nancy Curtis,"Nancy Curtis, Nancy Curtis, Gaydell Collier",9780618249336,618249338,$9.52,Houghton Mifflin Harcourt,2004,"American Literature Anthologies, Anthologies",,336.0,6.00 (w) x 9.00 (h) x 0.75 (d)
314,The Best American Short Stories 2002,Sue Miller,"Sue Miller, Katrina Kenison, Sue Miller, Katrina Kenison",9780618131730,618131736,$21.20,Houghton Mifflin Harcourt,2002,"American Fiction, Short Story Collections (Single Author), Short Story Anthologies, American Literature Anthologies",,402.0,5.50 (w) x 8.50 (h) x 0.89 (d)
153,Dream Me Home Safely: Writers on Growing Up in America,Susan Richards Shreve,"Susan Richards Shreve, Marian Wright Edelman President",9780618379026,618379029,$14.47,Houghton Mifflin Harcourt,2003,"U.S. Authors - 20th Century - Literary Biography, 20th Century American History - Social Aspects - General & Miscellaneous, Childhood Memoirs & Biography, Self-Improvement, American Literature Anthologies",,238.0,0.54 (w) x 5.50 (h) x 8.50 (d)
118,The Best American Short Stories 2003,Walter Mosley,"Walter Mosley, Katrina Kenison",9780618197330,618197338,$21.95,Houghton Mifflin Harcourt,2003,"American Fiction, Short Story Collections (Single Author), Short Story Anthologies, American Literature Anthologies",,386.0,0.86 (w) x 8.50 (h) x 5.50 (d)
147,The Best American Sports Writing 2008,William Nack,"William Nack, Glenn Stout",9780618751181,618751181,$13.58,Houghton Mifflin Harcourt,2008,"Sports Essays, American Literature Anthologies",,448.0,5.40 (w) x 8.10 (h) x 1.10 (d)
168,The Best American Sports Writing 2008,William Nack,"William Nack, Glenn Stout",9781615580194,1615580190,,Houghton Mifflin Harcourt,2008,,,,
231,"A Patriot'S Handbook: Songs, Poems, Stories, And Speeches Celebrating The Land We Love",Caroline Kennedy,Caroline Kennedy,9780786869183,786869186,$13.25,Hyperion,2003,"Poetry Anthologies, American Poetry, United States History - Reference, United States History - General & Miscellaneous, American Music - General & Miscellaneous, American Literature Anthologies, American Peoples & Cultures - Quotations, Speeches",,688.0,6.12 (w) x 9.25 (h) x 0.00 (d)
456,Sky Begins at Your Feet,Caryn Mirriam-Goldberg,Caryn Mirriam-Goldberg,9781888160437,1888160438,$15.69,Ice Cube Press,2009,"Cancer Patients - Biography, American Literature Anthologies",,242.0,6.10 (w) x 8.90 (h) x 0.80 (d)
423,"Iowa, the Definitive Collection: Classic and Contemporary Readings by Iowans, for Iowans",Zachary Michael Jack,Zachary Michael Jack,9781888160383,1888160381,$24.28,Ice Cube Press,2009,"United States History - Midwestern Region, American Literature Anthologies",,532.0,6.00 (w) x 9.00 (h) x 1.50 (d)
479,Decolonial Voices: Chicana and Chicano Cultural Studies in the 21st Century,Arturo J. Aldama,"Arturo J. Aldama, Naomi Qui?onez",9780253214928,253214920,$23.95,Indiana University Press,2002,"General & Miscellaneous American Art, Latin America & the Caribbean - Civilization, Latin Americans - General & Miscellaneous, United States - Civilization, Peoples & Cultures - American Anthologies, Regional Studies - Western U.S., Colonialism & Imperial",,432.0,6.10 (w) x 9.20 (h) x 0.90 (d)
9,Oral Epics from Africa,John William Johnson,"John William Johnson, Thomas A. Hale, Stephen  Belcher, Thomas A. Hale, Stephen Belcher",9780253211101,253211107,$24.95,Indiana University Press,2008,"Literary Criticism, African",,,
266,The Jazz Poetry Anthology,Sascha Feinstein,"Sascha Feinstein, Yusef Komunyakaa",9780253206374,253206375,$19.34,Indiana University Press,1991,"Poetry Anthologies, Poetry - General & Miscellaneous, American Poetry, American Literature Anthologies",,320.0,6.12 (w) x 9.23 (h) x 1.00 (d)
355,American Austen: The Forgotten Writing of Agnes Repplier,Agnes Repplier,"Agnes Repplier, John Lukacs",9781933859866,1933859865,$24.00,ISI Books,2009,American Literature Anthologies,,450.0,6.30 (w) x 9.30 (h) x 1.20 (d)
346,Slamma Lamma Ding Dong: An Anthology by Nebraska's Slam Poets,J. M. Huscher,"J. M. Huscher, Dan Leamen, Matt Mason, Dan Leamen, Matt Mason",9780595362974,595362974,$11.95,"iUniverse, Incorporated",2005,"Poetry Anthologies, Poetry - General & Miscellaneous, American Poetry, American Literature Anthologies",,126.0,6.14 (w) x 9.12 (h) x 0.35 (d)
148,The Lost Algonquin Round Table,Nat Benchley,"Nat Benchley, Kevin C. Fitzpatrick",9781440151514,1440151512,$18.95,"iUniverse, Incorporated",2009,"American & Canadian Literature, American Literature Anthologies, General & Miscellaneous Literature Anthologies, US & Canadian Literary Biography",,300.0,0.63 (w) x 5.50 (h) x 8.50 (d)
29,Glass Jars among Trees,Arja Salafranca,"Arja Salafranca, Alan Finlay",9781919931234,1919931236,$44.59,Jacana Media,2005,African Literature Anthologies,,188.0,7.75 (w) x 5.00 (h) x 0.47 (d)
19,Seventh Street Alchemy 2004: A Selection of Works from the Caine Prize for African Writing,Jacana Media,"Jacana Media, Monica Arac de Nyeko, Doreen Baingana, Parselelo Kantai",9781770091450,1770091459,$25.13,Jacana Media,2006,"Short Story Anthologies, African Fiction, African Literature Anthologies",,228.0,5.75 (w) x 8.25 (h) x 0.50 (d)
